"Individual"	"Population"	"Type"	"Concrete_Location"	"NS"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"PC15"	"PC16"	"PC17"	"PC18"	"PC19"	"PC20"	"pc1"	"pc2"
"1"	"BEAR-PAW-LAKE-1902.02"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-12.7181084047321	0.0176518926776584	1.26710572844743	-1.29862789431385	0.142772608995786	-0.681365494058759	-0.143191826751222	-0.00615006509924781	0.013268520381722	-0.0234078625040677	-0.235981368843348	0.0189889372922778	1.05332409461312e-14	1.51961776495568e-15	-8.32667268468867e-17	-1.25940924355916e-15	-9.64506252643105e-16	1.89084858881472e-15	4.09394740330526e-16	5.68989300120393e-16	85.62	4.7
"2"	"BEAR-PAW-LAKE-1902.03"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-12.5511030205754	0.00287710889283056	1.27802072789048	-1.3272794387368	0.121413318845547	-0.740771165056039	-0.263020011818659	0.030024219667983	-0.0599490784837294	0.113741874895492	1.16486529921851	-0.0962217346179837	9.53404022396853e-15	-4.23272528138341e-16	-1.73472347597681e-16	-2.09207651202803e-15	-1.18655085756814e-15	3.83373888190874e-15	2.42861286636753e-16	5.13478148889135e-16	85.62	4.7
"3"	"BEAR-PAW-LAKE-1902.04"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-12.7181084047321	0.0176518926776584	1.26710572844743	-1.29862789431385	0.142772608995786	-0.681365494058759	-0.143191826751222	-0.00615006509924781	0.013268520381722	-0.0234078625040677	-0.235981368843348	0.0189889372922778	1.05332409461312e-14	1.51961776495568e-15	-8.32667268468867e-17	-1.25940924355916e-15	-9.64506252643105e-16	1.89084858881472e-15	4.09394740330526e-16	5.68989300120393e-16	85.62	4.7
"4"	"BEAR-PAW-LAKE-1902.06"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-12.9418676258098	0.00650304501956032	3.56410832885341	7.38959773345405	-0.0928032966778969	0.352994013342338	0.0848938684344231	-0.00213449048391659	0.00220200569694097	0.000117718430405801	0.00553439964800575	-0.000984417742754908	8.32667268468867e-15	1.29757316003065e-15	-9.0205620750794e-17	-1.80758186196783e-15	-7.42461647718073e-16	1.6826817716975e-15	3.95516952522712e-16	2.56739074444567e-16	85.62	4.7
"5"	"BOOT-LAKE-2827.01"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-13.5317507448355	0.455089850231731	-10.1860175308989	1.70211783439309	0.0613769931693812	-0.671113575792228	-0.267478502616284	0.00922869566605269	-0.00949230346490822	0.00141817625077586	-0.000618372070381366	0.00184819860070778	6.86950496486816e-15	-2.0122792321331e-16	1.94289029309402e-16	8.50014503228635e-16	-5.20417042793042e-16	1.89084858881472e-15	4.64905891561784e-16	1.17961196366423e-15	85.62	4.7
"6"	"BOOT-LAKE-2827.07"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-12.7181084047321	0.0176518926776584	1.26710572844743	-1.29862789431385	0.142772608995786	-0.681365494058759	-0.143191826751222	-0.00615006509924781	0.013268520381722	-0.0234078625040677	-0.235981368843348	0.0189889372922778	1.05332409461312e-14	1.51961776495568e-15	-8.32667268468867e-17	-1.25940924355916e-15	-9.64506252643105e-16	1.89084858881472e-15	4.09394740330526e-16	5.68989300120393e-16	85.62	4.7
"7"	"BOOT-LAKE-2827.13"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-11.7459692720661	-0.0264896660958102	-0.690365660613642	-1.44633780640972	-0.551780721797347	4.49939719444936	1.66089917380948	-0.0563261825649676	0.0581840751221206	-0.00716786051402885	0.0227140367278645	-0.01334560178144	1.76386683037322e-14	1.67227343084164e-15	-5.16947595841089e-16	-1.53696499971545e-15	-8.10115863281169e-16	2.6402491304367e-15	1.35308431126191e-15	7.49400541621981e-16	85.62	4.7
"8"	"BOOT-LAKE-2827.19"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-12.7181084047321	0.0176518926776584	1.26710572844743	-1.29862789431385	0.142772608995786	-0.681365494058759	-0.143191826751222	-0.00615006509924781	0.013268520381722	-0.0234078625040677	-0.235981368843348	0.0189889372922778	1.05332409461312e-14	1.51961776495568e-15	-8.32667268468867e-17	-1.25940924355916e-15	-9.64506252643105e-16	1.89084858881472e-15	4.09394740330526e-16	5.68989300120393e-16	85.62	4.7
"9"	"BOOT-LAKE-2827.25"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-12.7181084047321	0.0176518926776584	1.26710572844743	-1.29862789431385	0.142772608995786	-0.681365494058759	-0.143191826751222	-0.00615006509924781	0.013268520381722	-0.0234078625040677	-0.235981368843348	0.0189889372922778	1.05332409461312e-14	1.51961776495568e-15	-8.32667268468867e-17	-1.25940924355916e-15	-9.64506252643105e-16	1.89084858881472e-15	4.09394740330526e-16	5.68989300120393e-16	85.62	4.7
"10"	"BOS-NER-GA-10"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-9.56988372394082	3.23744825748551	-1.67776671394373	0.214739776856403	1.44858511890869	-1.637666306861	4.24581624001982	0.876783019969321	0.898606813863886	-1.12401259696134	0.08554314458159	0.807459876876523	0.739694960582801	0.736224694433162	0.193107739978594	0.00681120949407413	0.175282861928696	0.116955229643109	0.19114537361719	-0.00360920743689429	85.62	4.7
"11"	"BOS-NER-GA-13"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-7.69423824924784	2.24785750850463	-2.03016780066419	0.133773720416173	0.912671303333599	-1.13126645206917	1.83737797190856	2.13269881643609	1.22033090614355	-2.34131373779745	2.39399957437399	-1.5396676715291	0.319907085525449	-0.275610688851446	0.118713453254889	0.0938651254600389	0.0842401488932331	0.296413607186449	-0.0939773613105924	0.121944976787693	85.62	4.7
"12"	"BOS-NER-GA-14"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-9.77664120714894	3.20177157549171	-1.52731012723823	0.689838368725342	1.18843995401563	-1.20193111319703	3.2156571862849	0.935694366939218	0.891161206953373	-0.863075687051511	0.00839380715977735	0.699224707797929	0.964297019067924	0.527039899675388	0.117541685435357	0.0992663013272232	0.0875445505515471	0.18923967738415	0.0700485380539144	0.0443431555670153	85.62	4.7
"13"	"BOS-NER-GA-17"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-9.65970070083637	3.18604245214042	-1.72172549908729	-0.0262273418119091	1.14683276281862	-1.22961928505226	2.95600568708913	0.965464185606729	0.855553793717053	-0.808793476231465	-0.0493186710618369	0.717330540457102	1.00666583537627	0.499307822297976	0.108217058761524	0.123106516936001	0.107173502685873	0.21766811881121	0.0423020363092187	0.0676745626037798	85.62	4.7
"14"	"BOS-NER-GA-18"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-10.2729455249021	2.37051210329424	-1.28478648133878	-0.182360937076111	1.23350106704485	-1.17245168037164	3.56837509557178	0.838854006440549	1.06020062686279	-0.921176192860021	0.0750542005296302	0.539401424705588	0.912560075436901	0.45761002241173	0.135824372736569	0.0101422239585519	0.0121355563930988	0.107194589070449	0.121352963572534	-0.0185415817930642	85.62	4.7
"15"	"BOS-NER-GA-19"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-10.2536134332418	3.24423572429132	-1.6899443158319	-0.0573602485781358	1.28681081572641	-1.27357675899973	3.46275238384051	0.857366423187605	1.02685759825683	-0.917208845349403	0.0751971692872858	0.571485396986421	0.905162430211641	0.660733687363781	0.151936539881539	0.0229429137741218	0.070533478802894	0.109435626283143	0.164921919399249	-0.0221764276710234	85.62	4.7
"16"	"BOS-NER-GA-2"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-10.2536134332418	3.24423572429132	-1.6899443158319	-0.0573602485781358	1.28681081572641	-1.27357675899973	3.46275238384051	0.857366423187605	1.02685759825683	-0.917208845349403	0.0751971692872858	0.571485396986421	0.905162430211641	0.660733687363781	0.151936539881539	0.0229429137741218	0.070533478802894	0.109435626283143	0.164921919399249	-0.0221764276710234	85.62	4.7
"17"	"BOS-NER-GA-4"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-10.2536134332418	3.24423572429132	-1.6899443158319	-0.0573602485781358	1.28681081572641	-1.27357675899973	3.46275238384051	0.857366423187605	1.02685759825683	-0.917208845349403	0.0751971692872858	0.571485396986421	0.905162430211641	0.660733687363781	0.151936539881539	0.0229429137741218	0.070533478802894	0.109435626283143	0.164921919399249	-0.0221764276710234	85.62	4.7
