"Individual"	"Population"	"Type"	"Concrete_Location"	"NS"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"PC15"	"PC16"	"PC17"	"PC18"	"PC19"	"pc1"	"pc2"
"1"	"BEAR-PAW-LAKE-1902.02"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-4.67437901359676	-0.0134475739877551	-5.87714421073431e-16	-2.13717932240343e-15	1.96193805969058e-16	1.92030767322486e-16	-1.41291693590617e-16	-8.59264338616763e-17	5.87816519366569e-17	-4.05036962223129e-16	0	1.09504419421036e-16	1.45933612416549e-16	9.81533794648312e-17	1.42001751036172e-16	2.27719474394641e-17	7.77855498101778e-18	-1.35656079482102e-16	1.06990302055248e-16	99.14	0.86
"2"	"BEAR-PAW-LAKE-1902.03"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-4.67437901359676	-0.0134475739877551	-5.87714421073431e-16	-2.13717932240343e-15	1.96193805969058e-16	1.92030767322486e-16	-1.41291693590617e-16	-8.59264338616763e-17	5.87816519366569e-17	-4.05036962223129e-16	0	1.09504419421036e-16	1.45933612416549e-16	9.81533794648312e-17	1.42001751036172e-16	2.27719474394641e-17	7.77855498101778e-18	-1.35656079482102e-16	1.06990302055248e-16	99.14	0.86
"3"	"BEAR-PAW-LAKE-1902.04"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-4.67437901359676	-0.0134475739877551	-5.87714421073431e-16	-2.13717932240343e-15	1.96193805969058e-16	1.92030767322486e-16	-1.41291693590617e-16	-8.59264338616763e-17	5.87816519366569e-17	-4.05036962223129e-16	0	1.09504419421036e-16	1.45933612416549e-16	9.81533794648312e-17	1.42001751036172e-16	2.27719474394641e-17	7.77855498101778e-18	-1.35656079482102e-16	1.06990302055248e-16	99.14	0.86
"4"	"BEAR-PAW-LAKE-1902.06"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-4.67437901359676	-0.0134475739877551	-5.87714421073431e-16	-2.13717932240343e-15	1.96193805969058e-16	1.92030767322486e-16	-1.41291693590617e-16	-8.59264338616763e-17	5.87816519366569e-17	-4.05036962223129e-16	0	1.09504419421036e-16	1.45933612416549e-16	9.81533794648312e-17	1.42001751036172e-16	2.27719474394641e-17	7.77855498101778e-18	-1.35656079482102e-16	1.06990302055248e-16	99.14	0.86
"5"	"BOOT-LAKE-2827.01"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-4.67437901359676	-0.0134475739877551	-5.87714421073431e-16	-2.13717932240343e-15	1.96193805969058e-16	1.92030767322486e-16	-1.41291693590617e-16	-8.59264338616763e-17	5.87816519366569e-17	-4.05036962223129e-16	0	1.09504419421036e-16	1.45933612416549e-16	9.81533794648312e-17	1.42001751036172e-16	2.27719474394641e-17	7.77855498101778e-18	-1.35656079482102e-16	1.06990302055248e-16	99.14	0.86
"6"	"BOOT-LAKE-2827.07"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-4.67437901359676	-0.0134475739877551	-5.87714421073431e-16	-2.13717932240343e-15	1.96193805969058e-16	1.92030767322486e-16	-1.41291693590617e-16	-8.59264338616763e-17	5.87816519366569e-17	-4.05036962223129e-16	0	1.09504419421036e-16	1.45933612416549e-16	9.81533794648312e-17	1.42001751036172e-16	2.27719474394641e-17	7.77855498101778e-18	-1.35656079482102e-16	1.06990302055248e-16	99.14	0.86
"7"	"BOOT-LAKE-2827.13"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-4.67437901359676	-0.0134475739877551	-5.87714421073431e-16	-2.13717932240343e-15	1.96193805969058e-16	1.92030767322486e-16	-1.41291693590617e-16	-8.59264338616763e-17	5.87816519366569e-17	-4.05036962223129e-16	0	1.09504419421036e-16	1.45933612416549e-16	9.81533794648312e-17	1.42001751036172e-16	2.27719474394641e-17	7.77855498101778e-18	-1.35656079482102e-16	1.06990302055248e-16	99.14	0.86
"8"	"BOOT-LAKE-2827.19"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-4.67437901359676	-0.0134475739877551	-5.87714421073431e-16	-2.13717932240343e-15	1.96193805969058e-16	1.92030767322486e-16	-1.41291693590617e-16	-8.59264338616763e-17	5.87816519366569e-17	-4.05036962223129e-16	0	1.09504419421036e-16	1.45933612416549e-16	9.81533794648312e-17	1.42001751036172e-16	2.27719474394641e-17	7.77855498101778e-18	-1.35656079482102e-16	1.06990302055248e-16	99.14	0.86
"9"	"BOOT-LAKE-2827.25"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-4.67437901359676	-0.0134475739877551	-5.87714421073431e-16	-2.13717932240343e-15	1.96193805969058e-16	1.92030767322486e-16	-1.41291693590617e-16	-8.59264338616763e-17	5.87816519366569e-17	-4.05036962223129e-16	0	1.09504419421036e-16	1.45933612416549e-16	9.81533794648312e-17	1.42001751036172e-16	2.27719474394641e-17	7.77855498101778e-18	-1.35656079482102e-16	1.06990302055248e-16	99.14	0.86
"10"	"BOS-NER-GA-10"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-5.16461555541382	0.0271580991667227	-0.00551234165063618	0.00897452800893353	-0.00322245636744109	0.0149725162017796	-0.00190705835727973	-0.00468546070520514	-0.00364972405808733	-0.00456685155241259	-4.19638769391106e-05	0.0160523834365321	-0.00411412894501622	0.0112024608808342	0.00367314594772067	-0.00118452288483996	-0.00722569097044333	0.000931928089977805	0.0125307167545124	99.14	0.86
"11"	"BOS-NER-GA-13"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-2.68398974615006	-0.453156247634426	-0.577050210833677	0.576036472597899	0.623338131092287	0.203853972132254	-0.338293316482349	-0.242382193112143	-0.390352973776318	0.431680669221405	-0.00151284179633754	0.809754082546262	0.157028903598311	0.70130265451468	0.775965222543123	0.0754221071994973	0.0485861405767857	0.0501517442348463	-0.328136751201754	99.14	0.86
"12"	"BOS-NER-GA-14"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	0.444125435679743	0.579817843323484	-0.272309551106004	0.270495662908699	0.299388656451039	-0.317868873382405	0.346624271793294	0.375291344223702	-0.716195002675627	0.80210664438386	-0.000703325880969691	0.378923030763033	0.0762613905909711	0.329211968364331	0.233619848725074	-0.146563835582106	0.760291263197642	0.753616847602752	-0.580716322230821	99.14	0.86
