"Individual"	"Population"	"Type"	"Concrete_Location"	"NS"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"PC15"	"PC16"	"PC17"	"PC18"	"PC19"	"PC20"	"pc1"	"pc2"
"1"	"BEAR-PAW-LAKE-1902.02"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-8.25079845198524	0.39207145273017	0.473867249912629	0.332105475598993	0.250056997947608	0.609303679341371	-1.25573960821576	0.143686042613174	-0.310829311304324	-0.125658372561487	-3.14245157673199e-15	2.59341159658533e-16	-1.46757606067638e-15	-2.79290479632266e-16	7.35522753814166e-16	8.91322606000333e-16	-2.04697370165263e-16	4.9960036108132e-16	4.44089209850063e-16	5.36029554076833e-16	96.53	0.94
"2"	"BEAR-PAW-LAKE-1902.03"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-8.12339772378348	-0.90915040577017	-0.844262752277788	-0.697232172989685	1.02681553681442	-0.162069196457191	-0.00830772647271452	-0.0581535412219006	0.132885542051467	-0.197699687013499	-1.34441069388203e-15	4.47558656802016e-16	-1.43288159115684e-15	-4.44089209850063e-16	9.43689570931383e-16	8.09790602629423e-16	-1.04083408558608e-17	7.21644966006352e-16	5.39499001028787e-16	6.05418493115906e-16	96.53	0.94
"3"	"BEAR-PAW-LAKE-1902.04"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-8.37759656622249	0.36846121872919	0.327763758999567	0.191064584010481	0.138372320647478	0.00587450952085591	0.811341803909768	0.721792944193356	-0.589274039409179	-0.173145020216678	-1.56038376664114e-15	6.47919218277337e-16	-1.63410951437015e-15	-8.89913143176102e-16	7.91033905045424e-16	4.88866759573714e-16	-3.81639164714898e-17	6.10622663543836e-16	5.55111512312578e-16	7.02563007770607e-16	96.53	0.94
"4"	"BEAR-PAW-LAKE-1902.06"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-8.63051839346723	0.334079324140203	0.146922460432212	0.0412493946838601	0.0317297759369327	-0.0508971565331377	0.109774631643007	-0.125910238985959	0.212333241138392	0.0723151965442224	-2.8648958205757e-15	3.72965547335014e-17	-1.46757606067638e-15	-5.01335084557297e-16	9.57567358739198e-16	6.69278001075302e-16	1.73472347597681e-17	7.21644966006352e-16	5.55111512312578e-16	5.91540705308091e-16	96.53	0.94
"5"	"BOOT-LAKE-2827.01"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-8.63051839346723	0.334079324140203	0.146922460432212	0.0412493946838601	0.0317297759369327	-0.0508971565331377	0.109774631643007	-0.125910238985959	0.212333241138392	0.0723151965442224	-2.8648958205757e-15	3.72965547335014e-17	-1.46757606067638e-15	-5.01335084557297e-16	9.57567358739198e-16	6.69278001075302e-16	1.73472347597681e-17	7.21644966006352e-16	5.55111512312578e-16	5.91540705308091e-16	96.53	0.94
"6"	"BOOT-LAKE-2827.07"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-8.63051839346723	0.334079324140203	0.146922460432212	0.0412493946838601	0.0317297759369327	-0.0508971565331377	0.109774631643007	-0.125910238985959	0.212333241138392	0.0723151965442224	-2.8648958205757e-15	3.72965547335014e-17	-1.46757606067638e-15	-5.01335084557297e-16	9.57567358739198e-16	6.69278001075302e-16	1.73472347597681e-17	7.21644966006352e-16	5.55111512312578e-16	5.91540705308091e-16	96.53	0.94
"7"	"BOOT-LAKE-2827.13"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-7.61437857622856	-1.43239112488704	-0.883974173192874	-0.176283006011574	-1.65776159299959	-0.240366517022261	-0.140334638948827	-0.183706642249704	-0.342632868959103	0.0997129979883752	-1.1440501324067e-15	-1.70870262383715e-16	-1.17614251671228e-15	-4.45823933326039e-16	9.0205620750794e-16	-1.21755903970122e-16	6.00214322687975e-16	7.63278329429795e-16	4.44089209850063e-16	6.22765727875674e-16	96.53	0.94
"8"	"BOOT-LAKE-2827.19"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-8.63051839346723	0.334079324140203	0.146922460432212	0.0412493946838601	0.0317297759369327	-0.0508971565331377	0.109774631643007	-0.125910238985959	0.212333241138392	0.0723151965442224	-2.8648958205757e-15	3.72965547335014e-17	-1.46757606067638e-15	-5.01335084557297e-16	9.57567358739198e-16	6.69278001075302e-16	1.73472347597681e-17	7.21644966006352e-16	5.55111512312578e-16	5.91540705308091e-16	96.53	0.94
"9"	"BOOT-LAKE-2827.25"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-8.63051839346723	0.334079324140203	0.146922460432212	0.0412493946838601	0.0317297759369327	-0.0508971565331377	0.109774631643007	-0.125910238985959	0.212333241138392	0.0723151965442224	-2.8648958205757e-15	3.72965547335014e-17	-1.46757606067638e-15	-5.01335084557297e-16	9.57567358739198e-16	6.69278001075302e-16	1.73472347597681e-17	7.21644966006352e-16	5.55111512312578e-16	5.91540705308091e-16	96.53	0.94
"10"	"BOS-NER-GA-10"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-8.69113514648202	0.102740187778598	-0.0290656885880601	0.0241581313582271	-0.00986934339763008	0.0151208694627586	-0.00586905736576133	-0.0411291976243435	0.043915343172087	0.0675610920782696	-0.00440459811720471	0.0413641229841665	-0.0225442401917006	-0.0172855463712031	0.0189007136734097	-0.00802166111077726	0.0210344793087651	-0.0168991099803744	0.0125996001758306	0.00614629077103487	96.53	0.94
