"Individual"	"Population"	"Type"	"Concrete_Location"	"NS"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"PC15"	"PC16"	"PC17"	"PC18"	"PC19"	"PC20"	"pc1"	"pc2"
"1"	"BEAR-PAW-LAKE-1902.02"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-5.3160410775083	0.207499532164586	-0.102217089163746	-0.0758745097769903	0.0121575146666148	2.28057632685483e-15	-1.77688683944563e-16	-7.80734736626072e-16	2.37607045266096e-17	1.27215029519602e-16	-2.92703309226671e-16	-6.08672389886503e-17	1.56735664944219e-16	4.16333634234434e-17	-5.55111512312578e-17	-2.77555756156289e-16	0	3.60822483003176e-16	0	-1.66533453693773e-16	97.54	1.36
"2"	"BEAR-PAW-LAKE-1902.03"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-5.3160410775083	0.207499532164586	-0.102217089163746	-0.0758745097769903	0.0121575146666148	2.28057632685483e-15	-1.77688683944563e-16	-7.80734736626072e-16	2.37607045266096e-17	1.27215029519602e-16	-2.92703309226671e-16	-6.08672389886503e-17	1.56735664944219e-16	4.16333634234434e-17	-5.55111512312578e-17	-2.77555756156289e-16	0	3.60822483003176e-16	0	-1.66533453693773e-16	97.54	1.36
"3"	"BEAR-PAW-LAKE-1902.04"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-5.3160410775083	0.207499532164586	-0.102217089163746	-0.0758745097769903	0.0121575146666148	2.28057632685483e-15	-1.77688683944563e-16	-7.80734736626072e-16	2.37607045266096e-17	1.27215029519602e-16	-2.92703309226671e-16	-6.08672389886503e-17	1.56735664944219e-16	4.16333634234434e-17	-5.55111512312578e-17	-2.77555756156289e-16	0	3.60822483003176e-16	0	-1.66533453693773e-16	97.54	1.36
"4"	"BEAR-PAW-LAKE-1902.06"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-5.3160410775083	0.207499532164586	-0.102217089163746	-0.0758745097769903	0.0121575146666148	2.28057632685483e-15	-1.77688683944563e-16	-7.80734736626072e-16	2.37607045266096e-17	1.27215029519602e-16	-2.92703309226671e-16	-6.08672389886503e-17	1.56735664944219e-16	4.16333634234434e-17	-5.55111512312578e-17	-2.77555756156289e-16	0	3.60822483003176e-16	0	-1.66533453693773e-16	97.54	1.36
"5"	"BOOT-LAKE-2827.01"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-5.3160410775083	0.207499532164586	-0.102217089163746	-0.0758745097769903	0.0121575146666148	2.28057632685483e-15	-1.77688683944563e-16	-7.80734736626072e-16	2.37607045266096e-17	1.27215029519602e-16	-2.92703309226671e-16	-6.08672389886503e-17	1.56735664944219e-16	4.16333634234434e-17	-5.55111512312578e-17	-2.77555756156289e-16	0	3.60822483003176e-16	0	-1.66533453693773e-16	97.54	1.36
"6"	"BOOT-LAKE-2827.07"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-5.3160410775083	0.207499532164586	-0.102217089163746	-0.0758745097769903	0.0121575146666148	2.28057632685483e-15	-1.77688683944563e-16	-7.80734736626072e-16	2.37607045266096e-17	1.27215029519602e-16	-2.92703309226671e-16	-6.08672389886503e-17	1.56735664944219e-16	4.16333634234434e-17	-5.55111512312578e-17	-2.77555756156289e-16	0	3.60822483003176e-16	0	-1.66533453693773e-16	97.54	1.36
"7"	"BOOT-LAKE-2827.13"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-3.86842671366809	-1.89096956961862	0.984619352873254	-0.0556607400942983	-0.164751179087178	1.84227633148737e-15	-8.68988041247132e-16	-2.80984545526775e-16	-2.29783097931147e-17	3.1547572713897e-16	-1.8790803482567e-16	-2.05615904440101e-16	6.7137784827893e-16	-1.28369537222284e-16	1.76074432811646e-16	-1.73472347597681e-17	9.36750677027476e-17	2.22044604925031e-16	-1.94289029309402e-16	1.73472347597681e-17	97.54	1.36
"8"	"BOOT-LAKE-2827.19"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-5.3160410775083	0.207499532164586	-0.102217089163746	-0.0758745097769903	0.0121575146666148	2.28057632685483e-15	-1.77688683944563e-16	-7.80734736626072e-16	2.37607045266096e-17	1.27215029519602e-16	-2.92703309226671e-16	-6.08672389886503e-17	1.56735664944219e-16	4.16333634234434e-17	-5.55111512312578e-17	-2.77555756156289e-16	0	3.60822483003176e-16	0	-1.66533453693773e-16	97.54	1.36
"9"	"BOOT-LAKE-2827.25"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-5.3160410775083	0.207499532164586	-0.102217089163746	-0.0758745097769903	0.0121575146666148	2.28057632685483e-15	-1.77688683944563e-16	-7.80734736626072e-16	2.37607045266096e-17	1.27215029519602e-16	-2.92703309226671e-16	-6.08672389886503e-17	1.56735664944219e-16	4.16333634234434e-17	-5.55111512312578e-17	-2.77555756156289e-16	0	3.60822483003176e-16	0	-1.66533453693773e-16	97.54	1.36
"10"	"BOS-NER-GA-10"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	5.28933663777723	-0.086338051533819	-0.0373029979518242	-0.0573500259344438	0.00497785327958322	0.00254427435668539	-0.00178456528174314	0.00411928328023695	-0.00301007344274098	-0.00229957958154935	-0.00660485132167496	0.0036773356817629	-0.00464959668972195	0.00776367378731405	0.000224421402947872	-0.00872451501897278	-0.00121064995561926	0.0029937767063451	0.00607986380205261	-0.00293105195085619	97.54	1.36
"11"	"BOS-NER-GA-13"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	5.13599251689981	-0.188427953097751	-0.0390909902990453	0.0533889063315349	-0.0371650836654958	0.00307617893176435	-0.0245954203641186	-0.0628437291166111	0.0217907516555978	0.0458001945736567	0.0866457054381463	-0.0331827575175325	0.0751085870181009	0.00339023841635258	0.0233667589351034	-0.00818997096833932	-0.0250827973604301	-0.000196171227357211	0.0265676746272203	0.023406115335347	97.54	1.36
"12"	"BOS-NER-GA-14"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	5.28933663777723	-0.086338051533819	-0.0373029979518242	-0.0573500259344438	0.00497785327958322	0.00254427435668539	-0.00178456528174314	0.00411928328023695	-0.00301007344274098	-0.00229957958154935	-0.00660485132167496	0.0036773356817629	-0.00464959668972195	0.00776367378731405	0.000224421402947872	-0.00872451501897278	-0.00121064995561926	0.0029937767063451	0.00607986380205261	-0.00293105195085619	97.54	1.36
"13"	"BOS-NER-GA-17"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	5.28933663777723	-0.086338051533819	-0.0373029979518242	-0.0573500259344438	0.00497785327958322	0.00254427435668539	-0.00178456528174314	0.00411928328023695	-0.00301007344274098	-0.00229957958154935	-0.00660485132167496	0.0036773356817629	-0.00464959668972195	0.00776367378731405	0.000224421402947872	-0.00872451501897278	-0.00121064995561926	0.0029937767063451	0.00607986380205261	-0.00293105195085619	97.54	1.36
"14"	"BOS-NER-GA-18"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	5.28933663777723	-0.086338051533819	-0.0373029979518242	-0.0573500259344438	0.00497785327958322	0.00254427435668539	-0.00178456528174314	0.00411928328023695	-0.00301007344274098	-0.00229957958154935	-0.00660485132167496	0.0036773356817629	-0.00464959668972195	0.00776367378731405	0.000224421402947872	-0.00872451501897278	-0.00121064995561926	0.0029937767063451	0.00607986380205261	-0.00293105195085619	97.54	1.36
"15"	"BOS-NER-GA-19"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	4.83829643891748	-0.354384275131556	0.0159835245948948	-0.247168957247211	-0.200601495497795	0.00479911929452695	-0.0984841304296955	-0.279749697360264	0.102125354127127	0.201604536582721	0.936538552213631	-0.120420489531602	-0.144890186195909	0.016101494250897	-0.0430336829117889	-0.00771127223126736	-0.115573942399987	0.00550374312933838	0.0794447774332065	0.10844793466797	97.54	1.36
"16"	"BOS-NER-GA-2"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	4.41665977359773	-0.703595164061753	-0.113342266941871	1.15284666218623	-0.143031811851576	0.00479471497732465	-0.0982952502316752	-0.279195225070831	0.101919996426206	0.201206257130501	-0.228386169460504	-0.188453449746862	0.870944719875145	-0.0409772925728704	0.257170826546427	-0.00505351669943935	-0.0874012725990037	-0.0285394669228435	0.107934633393513	0.108802093678793	97.54	1.36
"17"	"BOS-NER-GA-4"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	5.28933663777723	-0.086338051533819	-0.0373029979518242	-0.0573500259344438	0.00497785327958322	0.00254427435668539	-0.00178456528174314	0.00411928328023695	-0.00301007344274098	-0.00229957958154935	-0.00660485132167496	0.0036773356817629	-0.00464959668972195	0.00776367378731405	0.000224421402947872	-0.00872451501897278	-0.00121064995561926	0.0029937767063451	0.00607986380205261	-0.00293105195085619	97.54	1.36
"18"	"BOS-NER-GA-5"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	5.28933663777723	-0.086338051533819	-0.0373029979518242	-0.0573500259344438	0.00497785327958322	0.00254427435668539	-0.00178456528174314	0.00411928328023695	-0.00301007344274098	-0.00229957958154935	-0.00660485132167496	0.0036773356817629	-0.00464959668972195	0.00776367378731405	0.000224421402947872	-0.00872451501897278	-0.00121064995561926	0.0029937767063451	0.00607986380205261	-0.00293105195085619	97.54	1.36
