"Individual"	"Population"	"Type"	"Concrete_Location"	"NS"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"PC15"	"PC16"	"PC17"	"PC18"	"PC19"	"PC20"	"pc1"	"pc2"
"1"	"BEAR-PAW-LAKE-1902.02"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-12.0356487201921	0.751409364168685	0.130585669523186	0.268462429580252	0.20225344572507	0.0445568642383351	-0.517495847946772	-0.387952607984935	0.254079971638549	-0.505396814577795	0.0175066313147358	-0.104585927561597	-0.779875432766212	-0.00334089338305662	0.0677820722253559	4.4426268219766e-15	-1.08940634291343e-15	-1.23772520010945e-15	-5.55111512312578e-17	-2.15018974847325e-15	94.14	1.9
"2"	"BEAR-PAW-LAKE-1902.03"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-12.0171348029517	0.0369358993890865	-0.544389838749606	0.160613523108397	0.276553943260991	-0.0170910765012333	0.111922624288547	0.758040845435192	0.527309761782168	0.891596041196882	-0.512943577100756	-0.16689209989967	-0.127720043873233	-0.0158379789011718	-0.00902139009033072	1.06754882711613e-14	-1.15879528195251e-15	-1.9220736113823e-15	1.52655665885959e-16	-1.82145964977565e-15	94.14	1.9
"3"	"BEAR-PAW-LAKE-1902.04"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-12.2678822597532	0.122550372893983	-0.472272017576429	0.208861500005654	0.223726485294087	0.012738650268485	0.0863555162743506	0.0831858935021085	0.0918697283204215	-0.101576292300609	0.328308971055417	0.21492477172468	0.20049156393287	0.0138360283537641	-0.0306371985192127	1.19869392189997e-14	-1.11022302462516e-15	-1.60114976832659e-15	-4.85722573273506e-17	-1.88390969491081e-15	94.14	1.9
"4"	"BEAR-PAW-LAKE-1902.06"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-12.2678822597532	0.122550372893983	-0.472272017576429	0.208861500005654	0.223726485294087	0.012738650268485	0.0863555162743506	0.0831858935021085	0.0918697283204215	-0.101576292300609	0.328308971055417	0.21492477172468	0.20049156393287	0.0138360283537641	-0.0306371985192127	1.19869392189997e-14	-1.11022302462516e-15	-1.60114976832659e-15	-4.85722573273506e-17	-1.88390969491081e-15	94.14	1.9
"5"	"BOOT-LAKE-2827.01"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-12.2678822597532	0.122550372893983	-0.472272017576429	0.208861500005654	0.223726485294087	0.012738650268485	0.0863555162743506	0.0831858935021085	0.0918697283204215	-0.101576292300609	0.328308971055417	0.21492477172468	0.20049156393287	0.0138360283537641	-0.0306371985192127	1.19869392189997e-14	-1.11022302462516e-15	-1.60114976832659e-15	-4.85722573273506e-17	-1.88390969491081e-15	94.14	1.9
"6"	"BOOT-LAKE-2827.07"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-3.59756386102616	-3.4566150260234	-1.72153125925876	-0.275475357261132	-0.0271601048368034	0.0163398181618074	-0.577400386544907	-0.43319490853417	-0.193942436927287	-0.253025429251669	-0.294642301000384	-0.359468044866356	0.224183154570164	0.0143615989914628	-0.0210362383897577	4.04710986945389e-15	-9.29811783123569e-16	-1.37043154602168e-15	-3.81639164714898e-16	-7.19042880792387e-16	94.14	1.9
"7"	"BOOT-LAKE-2827.13"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-3.3576707892396	-0.564619150555601	0.975024994699864	-2.33030057971653	0.0611466700165446	0.0132220032955196	-0.282769249952132	-0.304446560527474	-0.553652863489539	0.50258905784169	-0.0538245088262039	0.48037516695644	-0.10386954227414	-0.0930663980947279	0.0792912520354886	2.78032805112183e-15	-8.2876414064792e-16	-4.91252004353182e-16	1.06685493772574e-15	-5.21718085400025e-16	94.14	1.9
"8"	"BOOT-LAKE-2827.19"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-3.12784182219099	-1.1675119755852	1.40715056729462	0.185406805586815	-2.63416778754451	-0.0404731297361432	0.132016561449654	0.268803183831376	0.147272487071737	-0.0705510905043014	0.0939762382848782	-0.0647766502065548	-0.0165520783949315	0.0128189217545963	0.0155501565101338	3.09257827679765e-15	-3.22224885662692e-16	-9.31871767251291e-16	-9.28077059647592e-16	-1.31275199044545e-15	94.14	1.9
"9"	"BOOT-LAKE-2827.25"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-11.3400699210604	1.94811996658603	1.48343650835229	0.355069906779387	0.196389772977645	-0.0406345111345596	0.547676525817807	-0.404422566388128	-0.738707802950358	-0.177155938298408	-0.399636802707855	-0.390051342556621	0.25677314203118	0.00576675070680629	-0.00965851934055056	1.03276762142279e-14	-8.36570396289815e-16	-1.09406841225512e-15	1.21430643318376e-16	-2.54700774360295e-15	94.14	1.9
"10"	"BOS-NER-GA-10"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	6.14521306398562	1.58131307923445	-0.550696891367514	-2.06607093018085	0.288836547039572	-0.0535576227569227	0.223007078599082	0.431255159407862	0.43477123599721	-0.387208627018717	0.209340568300884	-0.360209615523388	0.127865121947949	0.0488876661755933	0.0642350705875331	-0.00966003407236959	0.0267356487820851	-0.000657578877087437	0.0085419920864646	0.0294583879818341	94.14	1.9
