"Individual"	"Population"	"Type"	"Concrete_Location"	"NS"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"pc1"	"pc2"
"1"	"BEAR-PAW-LAKE-1902.02"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-1.39986391450023	-0.078958942957725	-0.0618018832402167	0.202870094516629	0.00228685723691807	-0.03502507206313	-0.028857951257842	1.54726442881077e-16	5.13072834273823e-17	-6.24416246278783e-17	91.41	4.58
"2"	"BEAR-PAW-LAKE-1902.03"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-1.26887228830473	0.467648171458745	0.634362062883707	-0.898409644807579	-0.207336525441446	0.134419397836984	-0.118648227893279	9.92152916498188e-17	3.28863039583671e-16	1.04091829065895e-16	91.41	4.58
"3"	"BEAR-PAW-LAKE-1902.04"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-4.54851894210753	1.25209332031325	1.13470214841583	-0.235001447582716	0.164448076128188	-0.106674947021444	0.111047688764292	1.02086137876064e-16	3.42089253064785e-17	-2.10036999926252e-16	91.41	4.58
"4"	"BEAR-PAW-LAKE-1902.06"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-1.77541782943557	-0.426612024189793	-0.859213846828826	-0.451118389387278	-0.457417376183755	-0.0979325995074757	0.100066543232885	2.69302014730031e-16	3.32485266743838e-16	2.3044874445673e-17	91.41	4.58
"5"	"BOOT-LAKE-2827.01"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-5.44962421852982	0.0405083986846427	-0.284289554480329	0.352531204172649	-0.000730529610486808	-0.0473258441237301	-0.0574925671381249	2.16661709725019e-16	3.15386908622935e-16	-1.245505008527e-16	91.41	4.58
"6"	"BOOT-LAKE-2827.07"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-1.39986391450023	-0.078958942957725	-0.0618018832402167	0.202870094516629	0.00228685723691807	-0.03502507206313	-0.028857951257842	1.54726442881077e-16	5.13072834273823e-17	-6.24416246278783e-17	91.41	4.58
"7"	"BOOT-LAKE-2827.13"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-3.97346003782544	-1.76151379526328	0.0875734378304673	-0.136683483864579	0.203402911458502	0.236204094458353	0.0678914432971039	-7.2989870743261e-16	1.10440661818807e-16	-3.10022032941874e-16	91.41	4.58
"8"	"BOOT-LAKE-2827.19"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-1.39986391450023	-0.078958942957725	-0.0618018832402167	0.202870094516629	0.00228685723691807	-0.03502507206313	-0.028857951257842	1.54726442881077e-16	5.13072834273823e-17	-6.24416246278783e-17	91.41	4.58
"9"	"BOOT-LAKE-2827.25"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-5.44962421852982	0.0405083986846427	-0.284289554480329	0.352531204172649	-0.000730529610486808	-0.0473258441237301	-0.0574925671381249	2.16661709725019e-16	3.15386908622935e-16	-1.245505008527e-16	91.41	4.58
"10"	"BOS-NER-GA-10"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-0.700670017420686	0.63242780161038	0.485804693815529	-0.912190584319354	-0.244401559349792	-0.112847123404726	0.235376672352077	-0.00333683191204498	-0.002564528572678	-0.000608688465128407	91.41	4.58
"11"	"BOS-NER-GA-13"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	0.486121244185606	0.641630705514152	-0.364324807131585	-0.581938860662869	-0.314626724065345	0.0576269175970757	1.26718227026011	0.0783503070116315	-0.109487131553315	-0.0719961366159578	91.41	4.58
