"Individual"	"Population"	"Type"	"Concrete_Location"	"NS"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"PC15"	"PC16"	"PC17"	"PC18"	"PC19"	"PC20"	"pc1"	"pc2"
"1"	"BEAR-PAW-LAKE-1902.02"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-8.90777891433396	-0.965756119274143	-0.87934427322031	-0.0185560261222888	0.0512836775678572	-0.220847889523654	-0.00102297690373347	4.47044961225251e-16	-0.0539431322675658	-0.0059327043284931	-0.238674174903274	-0.128123372400649	0.243522902487431	7.33441085642994e-15	1.80064296806393e-15	6.10622663543836e-16	-9.51929507442273e-16	-1.30451205393456e-15	-7.58941520739853e-16	6.10622663543836e-16	90.48	4.75
"2"	"BEAR-PAW-LAKE-1902.03"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-8.82947009220149	-0.960892660641751	-0.954210666800544	-0.0128034481132942	0.0227964313487957	-0.327853211801814	0.0172981161001713	1.69395597534867e-15	0.772695830666601	0.000448503554464187	0.300291811859024	0.170872602843899	0.00980460843005945	1.51961776495568e-15	2.1614654510671e-15	4.9960036108132e-16	1.02782365951626e-16	-1.08246744900953e-15	-3.63424568217141e-16	6.10622663543836e-16	90.48	4.75
"3"	"BEAR-PAW-LAKE-1902.04"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-8.94781935806679	-0.955164587450535	-0.932396661041595	-0.0220774662307332	0.067055756675322	-0.207224860471579	-0.00311163742923688	4.72710648260993e-16	-0.0442289635751202	-0.00754392725116164	-0.197453635505567	-0.0899396046438925	-0.0878035925017721	3.18495230189342e-15	1.82839854367955e-15	7.21644966006352e-16	-1.00744065867353e-15	-1.30451205393456e-15	-7.24247051220317e-16	6.10622663543836e-16	90.48	4.75
"4"	"BEAR-PAW-LAKE-1902.06"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-9.10276292785628	-2.32798368452584	5.3153769372488	0.00969847639827244	-0.0048428595358941	0.0238421069891619	-0.000103003103830166	6.17758192078797e-16	0.00179690169772753	5.04161515027749e-05	0.0050734785188018	0.00301345299590455	-0.00187682953793412	3.87884169228414e-15	1.52308721190764e-15	2.4980018054066e-16	-8.40907204979757e-16	-1.36002320516582e-15	-9.08127739673859e-16	7.49400541621981e-16	90.48	4.75
"5"	"BOOT-LAKE-2827.01"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-9.58099369178442	7.68428004774958	0.936002542614926	0.00739025276596397	-0.00151992590196794	-0.0713132310017163	0.00077232223399131	2.50666043335962e-16	0.0392014215475709	-0.00160507224059464	-0.0329267818469859	-0.0148134923945386	-0.000747673490412527	4.51721993144361e-15	1.38430933382949e-15	1.16573417585641e-15	-7.85396053748499e-16	-1.74860126378462e-15	-8.63024929298462e-16	9.43689570931383e-16	90.48	4.75
"6"	"BOOT-LAKE-2827.07"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-8.94781935806679	-0.955164587450535	-0.932396661041595	-0.0220774662307332	0.067055756675322	-0.207224860471579	-0.00311163742923688	4.72710648260993e-16	-0.0442289635751202	-0.00754392725116164	-0.197453635505567	-0.0899396046438925	-0.0878035925017721	3.18495230189342e-15	1.82839854367955e-15	7.21644966006352e-16	-1.00744065867353e-15	-1.30451205393456e-15	-7.24247051220317e-16	6.10622663543836e-16	90.48	4.75
"7"	"BOOT-LAKE-2827.13"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-8.635115565309	-0.421824449792296	-0.894095797227277	0.0128527852187165	-0.165307747986232	1.72588761868502	-0.00799030680049146	4.72710648260993e-16	-0.0349035927245213	-0.000811904361301683	0.0753190890933154	0.0525296067828447	0.00399983143916368	7.42461647718073e-16	1.71737624121704e-15	1.16573417585641e-15	-1.22948526359856e-15	-1.30451205393456e-15	-6.68735899989059e-16	2.77555756156289e-16	90.48	4.75
"8"	"BOOT-LAKE-2827.19"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-8.99093879163484	-0.428613087736026	-0.831791183120584	-0.0215489899384614	0.0780776198138057	-0.465454348709009	-0.00357232180610807	-3.04445468976616e-16	-0.587134361437436	0.027856737007689	0.482253785450219	0.197818273459473	0.00967093036466012	3.740063814206e-15	1.49533163629201e-15	5.55111512312578e-17	-1.00744065867353e-15	-1.30451205393456e-15	-3.9118014383277e-16	6.10622663543836e-16	90.48	4.75
"9"	"BOOT-LAKE-2827.25"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-8.94781935806679	-0.955164587450535	-0.932396661041595	-0.0220774662307332	0.067055756675322	-0.207224860471579	-0.00311163742923688	4.72710648260993e-16	-0.0442289635751202	-0.00754392725116164	-0.197453635505567	-0.0899396046438925	-0.0878035925017721	3.18495230189342e-15	1.82839854367955e-15	7.21644966006352e-16	-1.00744065867353e-15	-1.30451205393456e-15	-7.24247051220317e-16	6.10622663543836e-16	90.48	4.75
"10"	"BOS-NER-GA-10"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-6.79253818834385	1.3352962268168	-0.0839443985024644	-1.56804440480067	2.48159896679385	-0.0302573343844422	0.230603754578065	0.0449589038897915	-0.322538341786482	-0.154692525660292	0.266916093539842	-0.228302582741896	-0.185750777043363	1.75891067490208	-0.0828534827086362	0.0680518289194199	-1.0707599559374	0.0287781972700822	-0.459414497330136	0.120099329602588	90.48	4.75
