"Individual"	"Population"	"Type"	"Concrete_Location"	"NS"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"pc1"	"pc2"
"1"	"BEAR-PAW-LAKE-1902.02"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-3.39083036336867	-0.00969316109269025	-1.09054460239403e-16	6.09310768728428e-16	-1.21383466713456e-16	4.12889903817931e-17	5.86572090511043e-17	-5.8730209939193e-17	1.03037411890423e-18	-6.77538960141954e-18	99.11	0.89
"2"	"BEAR-PAW-LAKE-1902.03"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-3.39083036336867	-0.00969316109269025	-1.09054460239403e-16	6.09310768728428e-16	-1.21383466713456e-16	4.12889903817931e-17	5.86572090511043e-17	-5.8730209939193e-17	1.03037411890423e-18	-6.77538960141954e-18	99.11	0.89
"3"	"BEAR-PAW-LAKE-1902.04"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-3.39083036336867	-0.00969316109269025	-1.09054460239403e-16	6.09310768728428e-16	-1.21383466713456e-16	4.12889903817931e-17	5.86572090511043e-17	-5.8730209939193e-17	1.03037411890423e-18	-6.77538960141954e-18	99.11	0.89
"4"	"BEAR-PAW-LAKE-1902.06"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-3.39083036336867	-0.00969316109269025	-1.09054460239403e-16	6.09310768728428e-16	-1.21383466713456e-16	4.12889903817931e-17	5.86572090511043e-17	-5.8730209939193e-17	1.03037411890423e-18	-6.77538960141954e-18	99.11	0.89
"5"	"BOOT-LAKE-2827.01"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-3.39083036336867	-0.00969316109269025	-1.09054460239403e-16	6.09310768728428e-16	-1.21383466713456e-16	4.12889903817931e-17	5.86572090511043e-17	-5.8730209939193e-17	1.03037411890423e-18	-6.77538960141954e-18	99.11	0.89
"6"	"BOOT-LAKE-2827.07"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-3.39083036336867	-0.00969316109269025	-1.09054460239403e-16	6.09310768728428e-16	-1.21383466713456e-16	4.12889903817931e-17	5.86572090511043e-17	-5.8730209939193e-17	1.03037411890423e-18	-6.77538960141954e-18	99.11	0.89
"7"	"BOOT-LAKE-2827.13"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-3.39083036336867	-0.00969316109269025	-1.09054460239403e-16	6.09310768728428e-16	-1.21383466713456e-16	4.12889903817931e-17	5.86572090511043e-17	-5.8730209939193e-17	1.03037411890423e-18	-6.77538960141954e-18	99.11	0.89
"8"	"BOOT-LAKE-2827.19"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-3.39083036336867	-0.00969316109269025	-1.09054460239403e-16	6.09310768728428e-16	-1.21383466713456e-16	4.12889903817931e-17	5.86572090511043e-17	-5.8730209939193e-17	1.03037411890423e-18	-6.77538960141954e-18	99.11	0.89
"9"	"BOOT-LAKE-2827.25"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-3.39083036336867	-0.00969316109269025	-1.09054460239403e-16	6.09310768728428e-16	-1.21383466713456e-16	4.12889903817931e-17	5.86572090511043e-17	-5.8730209939193e-17	1.03037411890423e-18	-6.77538960141954e-18	99.11	0.89
"10"	"BOS-NER-GA-10"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-3.83545314791506	0.0400681080154972	0.00279979315515507	0.0011762925354777	0.0108330630822579	0.00356469793950344	-0.00938411953438867	-0.00513063303651396	-6.98099318834343e-05	-0.00194812259930411	99.11	0.89
