"Individual"	"Population"	"Type"	"Concrete_Location"	"NS"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"PC15"	"PC16"	"PC17"	"PC18"	"PC19"	"PC20"	"pc1"	"pc2"
"1"	"BEAR-PAW-LAKE-1902.02"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	5.72345655008171	0.103505917270984	-0.112636398921681	0.741392187064152	-0.624778369789944	-0.799566371251824	-0.0750447764247346	0.168844570772343	-1.49533163629201e-15	1.04083408558608e-16	1.73472347597681e-18	-3.33066907387547e-16	-3.46944695195361e-17	1.66533453693773e-16	1.56125112837913e-16	-8.32667268468867e-17	-1.17527515497429e-16	2.77555756156289e-17	-4.16333634234434e-17	1.38777878078145e-16	97.32	0.83
"2"	"BEAR-PAW-LAKE-1902.03"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	5.83721059910678	0.807210754141622	0.577337700133575	0.590218818048495	0.360261842185621	0.210133985662151	0.12792635305527	-0.0146816098920054	-1.28369537222284e-16	-1.73472347597681e-16	-1.05818132034585e-16	-4.16333634234434e-17	-1.38777878078145e-17	3.46944695195361e-16	1.00613961606655e-16	-1.80411241501588e-16	-4.02022165557625e-16	2.77555756156289e-17	1.38777878078145e-17	1.38777878078145e-16	97.32	0.83
"3"	"BEAR-PAW-LAKE-1902.04"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	6.02159433458239	-0.372288566550372	-0.275691628847798	0.000112160568397511	0.108182798397148	0.457300560558864	-0.550979202436985	0.475065442967477	-6.55725473919233e-16	3.53883589099269e-16	-3.98986399474666e-17	-3.33066907387547e-16	-4.85722573273506e-17	8.32667268468867e-17	3.12250225675825e-17	-6.93889390390723e-18	-1.73038666728687e-16	2.77555756156289e-17	-1.38777878078145e-16	0	97.32	0.83
"4"	"BEAR-PAW-LAKE-1902.06"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	6.19832757472843	-0.289685058217609	-0.115744879782734	-0.0133165220737944	0.0626578076524785	0.0693625614331749	0.106373750883129	-0.137924091287233	1.31838984174237e-16	2.42861286636753e-16	5.72458747072346e-17	-3.33066907387547e-16	-4.85722573273506e-17	4.16333634234434e-16	1.97758476261356e-16	-1.17961196366423e-16	-3.3957212042246e-16	2.77555756156289e-17	-8.32667268468867e-17	1.11022302462516e-16	97.32	0.83
"5"	"BOOT-LAKE-2827.01"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	6.19832757472843	-0.289685058217609	-0.115744879782734	-0.0133165220737944	0.0626578076524785	0.0693625614331749	0.106373750883129	-0.137924091287233	1.31838984174237e-16	2.42861286636753e-16	5.72458747072346e-17	-3.33066907387547e-16	-4.85722573273506e-17	4.16333634234434e-16	1.97758476261356e-16	-1.17961196366423e-16	-3.3957212042246e-16	2.77555756156289e-17	-8.32667268468867e-17	1.11022302462516e-16	97.32	0.83
"6"	"BOOT-LAKE-2827.07"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	6.19832757472843	-0.289685058217609	-0.115744879782734	-0.0133165220737944	0.0626578076524785	0.0693625614331749	0.106373750883129	-0.137924091287233	1.31838984174237e-16	2.42861286636753e-16	5.72458747072346e-17	-3.33066907387547e-16	-4.85722573273506e-17	4.16333634234434e-16	1.97758476261356e-16	-1.17961196366423e-16	-3.3957212042246e-16	2.77555756156289e-17	-8.32667268468867e-17	1.11022302462516e-16	97.32	0.83
"7"	"BOOT-LAKE-2827.13"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	5.48308969305599	0.927738870684628	0.535427588232958	-1.28398503793659	-0.140882054417587	-0.274248565304837	-0.0314381408598556	0.102452626392609	9.05525654459893e-16	-9.0205620750794e-17	2.23779328401008e-16	-2.22044604925031e-16	-4.85722573273506e-17	-8.32667268468867e-17	5.89805981832114e-17	-2.08166817117217e-17	-1.45283091113058e-16	2.77555756156289e-17	-1.38777878078145e-16	5.55111512312578e-17	97.32	0.83
"8"	"BOOT-LAKE-2827.19"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	6.19832757472843	-0.289685058217609	-0.115744879782734	-0.0133165220737944	0.0626578076524785	0.0693625614331749	0.106373750883129	-0.137924091287233	1.31838984174237e-16	2.42861286636753e-16	5.72458747072346e-17	-3.33066907387547e-16	-4.85722573273506e-17	4.16333634234434e-16	1.97758476261356e-16	-1.17961196366423e-16	-3.3957212042246e-16	2.77555756156289e-17	-8.32667268468867e-17	1.11022302462516e-16	97.32	0.83
"9"	"BOOT-LAKE-2827.25"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	6.19832757472843	-0.289685058217609	-0.115744879782734	-0.0133165220737944	0.0626578076524785	0.0693625614331749	0.106373750883129	-0.137924091287233	1.31838984174237e-16	2.42861286636753e-16	5.72458747072346e-17	-3.33066907387547e-16	-4.85722573273506e-17	4.16333634234434e-16	1.97758476261356e-16	-1.17961196366423e-16	-3.3957212042246e-16	2.77555756156289e-17	-8.32667268468867e-17	1.11022302462516e-16	97.32	0.83
"10"	"BOS-NER-GA-10"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	6.31082184803268	-0.0762069783262103	0.0232955248140168	-0.0104933480957877	-0.0406195324799642	0.0162298294085039	0.0235326058917825	-0.0466128842755706	-0.00107551361934648	-0.0168828604379475	0.000844289001292369	-0.00872998117856349	-0.0118318459636298	-0.0232255784653112	0.0117862315257144	-0.00953251064410297	-0.0172641255450168	0.0315821984495392	0.00139622547939661	0.040280361759253	97.32	0.83
"11"	"BOS-NER-GA-13"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	6.27011167004532	0.0463867086766042	0.100599020767823	0.0597063141435141	-0.00669385379102716	0.0329872000285962	0.0261420672825914	-0.0335235401142221	-0.000813006912613846	-0.0196642435265504	0.000765375388609928	-0.0131642619266975	-0.0121195554521785	-0.0232555802855656	0.010748255174655	-0.00947094381653795	-0.0189930351132748	0.0325402777762208	0.00194353702745433	0.0400677425007417	97.32	0.83
"12"	"BOS-NER-GA-14"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	5.98514042413382	0.904542517696306	0.64172349244447	0.551103949818627	0.230785897031532	0.150288794369243	0.0444082970182539	0.058101869015217	0.00102454003451458	-0.0391339251467709	0.000212980099832829	-0.0442042271636355	-0.0141335218720198	-0.0234655930273456	0.00348242071723954	-0.00903997602358282	-0.031095402091081	0.0392468330629917	0.00577471786385853	0.0385794076911625	97.32	0.83
"13"	"BOS-NER-GA-17"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	6.31082184803268	-0.0762069783262103	0.0232955248140168	-0.0104933480957877	-0.0406195324799642	0.0162298294085039	0.0235326058917825	-0.0466128842755706	-0.00107551361934648	-0.0168828604379475	0.000844289001292369	-0.00872998117856349	-0.0118318459636298	-0.0232255784653112	0.0117862315257144	-0.00953251064410297	-0.0172641255450168	0.0315821984495392	0.00139622547939661	0.040280361759253	97.32	0.83
"14"	"BOS-NER-GA-18"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	6.31082184803268	-0.0762069783262103	0.0232955248140168	-0.0104933480957877	-0.0406195324799642	0.0162298294085039	0.0235326058917825	-0.0466128842755706	-0.00107551361934648	-0.0168828604379475	0.000844289001292369	-0.00872998117856349	-0.0118318459636298	-0.0232255784653112	0.0117862315257144	-0.00953251064410297	-0.0172641255450168	0.0315821984495392	0.00139622547939661	0.040280361759253	97.32	0.83
"15"	"BOS-NER-GA-19"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	6.31082184803268	-0.0762069783262103	0.0232955248140168	-0.0104933480957877	-0.0406195324799642	0.0162298294085039	0.0235326058917825	-0.0466128842755706	-0.00107551361934648	-0.0168828604379475	0.000844289001292369	-0.00872998117856349	-0.0118318459636298	-0.0232255784653112	0.0117862315257144	-0.00953251064410297	-0.0172641255450168	0.0315821984495392	0.00139622547939661	0.040280361759253	97.32	0.83
"16"	"BOS-NER-GA-2"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	6.31082184803268	-0.0762069783262103	0.0232955248140168	-0.0104933480957877	-0.0406195324799642	0.0162298294085039	0.0235326058917825	-0.0466128842755706	-0.00107551361934648	-0.0168828604379475	0.000844289001292369	-0.00872998117856349	-0.0118318459636298	-0.0232255784653112	0.0117862315257144	-0.00953251064410297	-0.0172641255450168	0.0315821984495392	0.00139622547939661	0.040280361759253	97.32	0.83
"17"	"BOS-NER-GA-4"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	6.31082184803268	-0.0762069783262103	0.0232955248140168	-0.0104933480957877	-0.0406195324799642	0.0162298294085039	0.0235326058917825	-0.0466128842755706	-0.00107551361934648	-0.0168828604379475	0.000844289001292369	-0.00872998117856349	-0.0118318459636298	-0.0232255784653112	0.0117862315257144	-0.00953251064410297	-0.0172641255450168	0.0315821984495392	0.00139622547939661	0.040280361759253	97.32	0.83
"18"	"BOS-NER-GA-5"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	6.31082184803268	-0.0762069783262103	0.0232955248140168	-0.0104933480957877	-0.0406195324799642	0.0162298294085039	0.0235326058917825	-0.0466128842755706	-0.00107551361934648	-0.0168828604379475	0.000844289001292369	-0.00872998117856349	-0.0118318459636298	-0.0232255784653112	0.0117862315257144	-0.00953251064410297	-0.0172641255450168	0.0315821984495392	0.00139622547939661	0.040280361759253	97.32	0.83
"19"	"BOS-NER-GA-8"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	6.27011167004532	0.0463867086766042	0.100599020767823	0.0597063141435141	-0.00669385379102716	0.0329872000285962	0.0261420672825914	-0.0335235401142221	-0.000813006912613846	-0.0196642435265504	0.000765375388609928	-0.0131642619266975	-0.0121195554521785	-0.0232555802855656	0.010748255174655	-0.00947094381653795	-0.0189930351132748	0.0325402777762208	0.00194353702745433	0.0400677425007417	97.32	0.83
"20"	"ENG-BUT-GA-1"	"ENG-BUT-GA"	"Freshwater"	"English_Channel"	"North"	5.8407445702744	-0.0928091914614637	-0.271508253429261	0.00686896458941966	0.178569441970225	0.0274425701373662	0.0552744489032041	-0.251018609633699	-0.013711843844466	-0.0258099646648296	-0.220813365545958	-0.000395120210885721	-0.257101726124586	0.177584013433582	0.227436949054733	-0.0762824384943921	0.347774903180854	-0.259683792386388	0.437664752479821	-0.185116396711874	97.32	0.83
"21"	"ENG-BUT-GA-33"	"ENG-BUT-GA"	"Freshwater"	"English_Channel"	"North"	5.8407445702744	-0.0928091914614637	-0.271508253429261	0.00686896458941966	0.178569441970225	0.0274425701373662	0.0552744489032041	-0.251018609633699	-0.013711843844466	-0.0258099646648296	-0.220813365545958	-0.000395120210885721	-0.257101726124586	0.177584013433582	0.227436949054733	-0.0762824384943921	0.347774903180854	-0.259683792386388	0.437664752479821	-0.185116396711874	97.32	0.83
