"Individual"	"Population"	"Type"	"Concrete_Location"	"NS"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"PC15"	"PC16"	"PC17"	"PC18"	"PC19"	"PC20"	"pc1"	"pc2"
"1"	"BEAR-PAW-LAKE-1902.02"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-8.05683272622464	-0.0134710352355497	-0.0301891034628576	-0.0123498100247435	0.212307313566338	-0.0155840532429136	4.56579218877096e-15	-6.03683769639929e-16	-1.45716771982052e-16	-4.21537804662364e-16	-4.85722573273506e-16	-5.16947595841089e-16	-7.21644966006352e-16	3.46944695195361e-18	-4.30211422042248e-16	1.04083408558608e-16	-2.98372437868011e-16	4.9960036108132e-16	-1.17961196366423e-15	-3.0444397003393e-16	98.56	0.8
"2"	"BEAR-PAW-LAKE-1902.03"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-8.05683272622464	-0.0134710352355497	-0.0301891034628576	-0.0123498100247435	0.212307313566338	-0.0155840532429136	4.56579218877096e-15	-6.03683769639929e-16	-1.45716771982052e-16	-4.21537804662364e-16	-4.85722573273506e-16	-5.16947595841089e-16	-7.21644966006352e-16	3.46944695195361e-18	-4.30211422042248e-16	1.04083408558608e-16	-2.98372437868011e-16	4.9960036108132e-16	-1.17961196366423e-15	-3.0444397003393e-16	98.56	0.8
"3"	"BEAR-PAW-LAKE-1902.04"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-8.05683272622464	-0.0134710352355497	-0.0301891034628576	-0.0123498100247435	0.212307313566338	-0.0155840532429136	4.56579218877096e-15	-6.03683769639929e-16	-1.45716771982052e-16	-4.21537804662364e-16	-4.85722573273506e-16	-5.16947595841089e-16	-7.21644966006352e-16	3.46944695195361e-18	-4.30211422042248e-16	1.04083408558608e-16	-2.98372437868011e-16	4.9960036108132e-16	-1.17961196366423e-15	-3.0444397003393e-16	98.56	0.8
"4"	"BEAR-PAW-LAKE-1902.06"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-7.79085079616855	0.145771449294562	0.311596558878829	-0.931678902245182	-0.78223664019004	0.0206356855934818	3.23352455922077e-15	-5.48172618408671e-16	-4.78783679369599e-16	-1.71737624121704e-16	-4.85722573273506e-16	-2.67147415300428e-16	-6.10622663543836e-16	3.46944695195361e-18	-3.7470027081099e-16	4.85722573273506e-17	-3.53883589099269e-16	4.9960036108132e-16	-1.06858966120171e-15	-3.32199545649559e-16	98.56	0.8
"5"	"BOOT-LAKE-2827.01"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-8.05683272622464	-0.0134710352355497	-0.0301891034628576	-0.0123498100247435	0.212307313566338	-0.0155840532429136	4.56579218877096e-15	-6.03683769639929e-16	-1.45716771982052e-16	-4.21537804662364e-16	-4.85722573273506e-16	-5.16947595841089e-16	-7.21644966006352e-16	3.46944695195361e-18	-4.30211422042248e-16	1.04083408558608e-16	-2.98372437868011e-16	4.9960036108132e-16	-1.17961196366423e-15	-3.0444397003393e-16	98.56	0.8
"6"	"BOOT-LAKE-2827.07"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-8.05683272622464	-0.0134710352355497	-0.0301891034628576	-0.0123498100247435	0.212307313566338	-0.0155840532429136	4.56579218877096e-15	-6.03683769639929e-16	-1.45716771982052e-16	-4.21537804662364e-16	-4.85722573273506e-16	-5.16947595841089e-16	-7.21644966006352e-16	3.46944695195361e-18	-4.30211422042248e-16	1.04083408558608e-16	-2.98372437868011e-16	4.9960036108132e-16	-1.17961196366423e-15	-3.0444397003393e-16	98.56	0.8
"7"	"BOOT-LAKE-2827.13"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-7.79060522627553	-0.307779167185134	-0.152631788016521	0.994857588710439	-0.732837195134546	0.0912945451248161	4.09394740330526e-15	-5.62050406216485e-16	6.93889390390723e-18	-4.97865637605344e-16	-6.52256026967279e-16	-2.81025203108243e-16	-6.52256026967279e-16	1.73472347597681e-17	-4.16333634234434e-16	1.31838984174237e-16	-3.53883589099269e-16	4.71844785465692e-16	-1.22124532708767e-15	-3.33934269125535e-16	98.56	0.8
"8"	"BOOT-LAKE-2827.19"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-8.05683272622464	-0.0134710352355497	-0.0301891034628576	-0.0123498100247435	0.212307313566338	-0.0155840532429136	4.56579218877096e-15	-6.03683769639929e-16	-1.45716771982052e-16	-4.21537804662364e-16	-4.85722573273506e-16	-5.16947595841089e-16	-7.21644966006352e-16	3.46944695195361e-18	-4.30211422042248e-16	1.04083408558608e-16	-2.98372437868011e-16	4.9960036108132e-16	-1.17961196366423e-15	-3.0444397003393e-16	98.56	0.8
"9"	"BOOT-LAKE-2827.25"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-8.05683272622464	-0.0134710352355497	-0.0301891034628576	-0.0123498100247435	0.212307313566338	-0.0155840532429136	4.56579218877096e-15	-6.03683769639929e-16	-1.45716771982052e-16	-4.21537804662364e-16	-4.85722573273506e-16	-5.16947595841089e-16	-7.21644966006352e-16	3.46944695195361e-18	-4.30211422042248e-16	1.04083408558608e-16	-2.98372437868011e-16	4.9960036108132e-16	-1.17961196366423e-15	-3.0444397003393e-16	98.56	0.8
"10"	"BOS-NER-GA-10"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-0.722437511720172	-0.135692354645815	-0.106102624213969	-0.0382638694928034	0.103929398476253	0.0486807433848057	0.00383228667153251	0.000563368056882808	-0.00118227857535488	-0.00412749172443341	0.00174151596602571	0.000195641056413816	-0.000172361559903364	-0.00239757942522716	-0.00125008606381751	0.00146285379020772	-0.000832482650082155	-0.000678464619256449	-0.00105826424653455	0.000569021911791676	98.56	0.8
