"Individual"	"Population"	"Type"	"Concrete_Location"	"NS"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"pc1"	"pc2"
"1"	"BEAR-PAW-LAKE-1902.02"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-3.77893218914321	0.00199917207672684	-0.0434246436520677	0.0137879413007192	-1.10861067937834e-16	-7.48594368998572e-16	3.9030552041654e-17	2.07855484309537e-16	1.73191783146113e-16	2.30392566448978e-16	-5.43367124086574e-17	1.18977965051686e-16	1.79318995619149e-17	98.62	0.72
"2"	"BEAR-PAW-LAKE-1902.03"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-3.77893218914321	0.00199917207672684	-0.0434246436520677	0.0137879413007192	-1.10861067937834e-16	-7.48594368998572e-16	3.9030552041654e-17	2.07855484309537e-16	1.73191783146113e-16	2.30392566448978e-16	-5.43367124086574e-17	1.18977965051686e-16	1.79318995619149e-17	98.62	0.72
"3"	"BEAR-PAW-LAKE-1902.04"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-3.77893218914321	0.00199917207672684	-0.0434246436520677	0.0137879413007192	-1.10861067937834e-16	-7.48594368998572e-16	3.9030552041654e-17	2.07855484309537e-16	1.73191783146113e-16	2.30392566448978e-16	-5.43367124086574e-17	1.18977965051686e-16	1.79318995619149e-17	98.62	0.72
"4"	"BEAR-PAW-LAKE-1902.06"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-3.77893218914321	0.00199917207672684	-0.0434246436520677	0.0137879413007192	-1.10861067937834e-16	-7.48594368998572e-16	3.9030552041654e-17	2.07855484309537e-16	1.73191783146113e-16	2.30392566448978e-16	-5.43367124086574e-17	1.18977965051686e-16	1.79318995619149e-17	98.62	0.72
"5"	"BOOT-LAKE-2827.01"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-3.77893218914321	0.00199917207672684	-0.0434246436520677	0.0137879413007192	-1.10861067937834e-16	-7.48594368998572e-16	3.9030552041654e-17	2.07855484309537e-16	1.73191783146113e-16	2.30392566448978e-16	-5.43367124086574e-17	1.18977965051686e-16	1.79318995619149e-17	98.62	0.72
"6"	"BOOT-LAKE-2827.07"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-3.77893218914321	0.00199917207672684	-0.0434246436520677	0.0137879413007192	-1.10861067937834e-16	-7.48594368998572e-16	3.9030552041654e-17	2.07855484309537e-16	1.73191783146113e-16	2.30392566448978e-16	-5.43367124086574e-17	1.18977965051686e-16	1.79318995619149e-17	98.62	0.72
"7"	"BOOT-LAKE-2827.13"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-3.77893218914321	0.00199917207672684	-0.0434246436520677	0.0137879413007192	-1.10861067937834e-16	-7.48594368998572e-16	3.9030552041654e-17	2.07855484309537e-16	1.73191783146113e-16	2.30392566448978e-16	-5.43367124086574e-17	1.18977965051686e-16	1.79318995619149e-17	98.62	0.72
"8"	"BOOT-LAKE-2827.19"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-3.77893218914321	0.00199917207672684	-0.0434246436520677	0.0137879413007192	-1.10861067937834e-16	-7.48594368998572e-16	3.9030552041654e-17	2.07855484309537e-16	1.73191783146113e-16	2.30392566448978e-16	-5.43367124086574e-17	1.18977965051686e-16	1.79318995619149e-17	98.62	0.72
"9"	"BOOT-LAKE-2827.25"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-3.77893218914321	0.00199917207672684	-0.0434246436520677	0.0137879413007192	-1.10861067937834e-16	-7.48594368998572e-16	3.9030552041654e-17	2.07855484309537e-16	1.73191783146113e-16	2.30392566448978e-16	-5.43367124086574e-17	1.18977965051686e-16	1.79318995619149e-17	98.62	0.72
"10"	"BOS-NER-GA-10"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	3.8749161682922	0.0466008015959356	0.000882846783192615	-0.0475095923479885	-0.0105766015009904	0.00829525194462171	0.00688471406633201	0.0131347245490415	-0.0123159050509394	-0.00807469092037159	-0.000640588809346589	0.0119640216369907	0.0131491268452369	98.62	0.72
