"Individual"	"Population"	"Type"	"Concrete_Location"	"NS"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"PC15"	"PC16"	"PC17"	"PC18"	"PC19"	"PC20"	"pc1"	"pc2"
"1"	"BEAR-PAW-LAKE-1902.02"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-8.73543753950711	0.244425452051912	-0.302598132825783	0.120712229192604	-0.0636705222416098	0.0331848983114985	-0.038277775413382	-0.0576588470523264	-0.113576142552089	0.258845247047058	-0.0662964689638274	0.0912432380605359	0.0556085216213455	-1.05190793901847e-15	-6.8831657437739e-17	4.21415132362753e-17	-9.22516522282113e-16	4.08057422413048e-16	1.40048915533949e-16	1.43657979916233e-16	95.1	1.7
"2"	"BEAR-PAW-LAKE-1902.03"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-8.55531541271653	0.195266524777945	-0.389207291678289	0.148954840044626	-0.124827304135229	0.0367365455785057	-0.156461020251276	-0.121147528503062	0.755013108930345	-0.451439590321573	0.170467752875213	-0.0684229632511678	-0.0360140601136781	-1.52375272448416e-15	-3.46387413594028e-16	9.76526644675331e-17	-1.03353882474463e-15	5.67651982202914e-16	1.33110021630042e-16	2.23455259811166e-16	95.1	1.7
"3"	"BEAR-PAW-LAKE-1902.04"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-8.73543753950711	0.244425452051912	-0.302598132825783	0.120712229192604	-0.0636705222416098	0.0331848983114985	-0.038277775413382	-0.0576588470523264	-0.113576142552089	0.258845247047058	-0.0662964689638274	0.0912432380605359	0.0556085216213455	-1.05190793901847e-15	-6.8831657437739e-17	4.21415132362753e-17	-9.22516522282113e-16	4.08057422413048e-16	1.40048915533949e-16	1.43657979916233e-16	95.1	1.7
"4"	"BEAR-PAW-LAKE-1902.06"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-8.67539683057692	0.22803914296059	-0.331467852443285	0.130126432809945	-0.0840561162061495	0.0343687807338343	-0.0776721903593465	-0.0788217408692383	0.175953607942056	0.0220836345908477	0.0126249383158527	0.0380211709566347	0.0250676610430042	-1.20456360490443e-15	-1.6597617209244e-16	6.2958194947997e-17	-9.58945715277626e-16	4.63568573644306e-16	1.36579468581995e-16	1.71413555531862e-16	95.1	1.7
"5"	"BOOT-LAKE-2827.01"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-8.73543753950711	0.244425452051912	-0.302598132825783	0.120712229192604	-0.0636705222416098	0.0331848983114985	-0.038277775413382	-0.0576588470523264	-0.113576142552089	0.258845247047058	-0.0662964689638274	0.0912432380605359	0.0556085216213455	-1.05190793901847e-15	-6.8831657437739e-17	4.21415132362753e-17	-9.22516522282113e-16	4.08057422413048e-16	1.40048915533949e-16	1.43657979916233e-16	95.1	1.7
"6"	"BOOT-LAKE-2827.07"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-2.65431943182445	-2.42417866165474	-1.29429384027511	-0.0495728874937431	-0.0133654543766227	-0.0427144547142685	0.105870942830571	0.318809355479878	-0.428777874465899	-0.251757821951756	0.0325358377578164	-0.0858330852777572	-0.0526043054328997	-4.34346381570724e-16	-4.36593034344822e-16	-5.32682779424491e-17	-5.5995931580296e-16	-2.53739583672104e-16	2.9704139010985e-16	5.29200272452078e-16	95.1	1.7
"7"	"BOOT-LAKE-2827.13"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-2.48661246716725	-0.83304950068141	0.951823205545962	-1.37995180033126	-0.533693862392352	-0.190377210693769	0.490801021058911	0.123167616617083	0.250812024720752	0.176431363017701	0.0621683147812318	-0.0413574496436125	-0.0070847781798021	-2.03501560446522e-16	-1.91682322494004e-16	4.02118865427466e-16	-7.81929001757087e-17	3.36198668586998e-16	-3.0261873246839e-16	-3.17253541749099e-18	95.1	1.7
"8"	"BOOT-LAKE-2827.19"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-2.24761770033974	-1.07665911853589	1.12525253019727	0.0576084844649928	1.50158314239008	-0.191375519031643	-0.308735804961083	0.080835651458382	0.131910351045865	0.0679718030273382	-0.0295890536768099	-0.00722200388926019	-0.00824205999413186	-3.97790589755925e-16	-1.08415595647117e-16	2.21707623925878e-16	-8.83104593028947e-16	3.36198668586998e-16	1.9698162861293e-16	1.35605342660654e-16	95.1	1.7
"9"	"BOOT-LAKE-2827.25"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-8.08571778008725	1.38763628207633	1.23163978372385	0.100614933475439	-0.0750597754950638	0.0618637527775238	0.202195806132331	0.0721486702248709	-0.581848905945505	-0.358727169813204	0.00688444529527276	-0.17693471328599	-0.123587761707809	-1.30678569116777e-15	-1.29496645321525e-15	8.1195022371757e-17	-9.12594892120553e-16	4.15128586743943e-16	3.31422698001133e-16	-2.04834139499795e-16	95.1	1.7
"10"	"BOS-NER-GA-10"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	4.37456573638945	1.02287169898934	-0.232962707322451	-1.45092584250727	-0.475271765547876	-0.193192626617228	-0.405458047412196	0.0740276621674488	0.178387109389564	0.260545368020692	0.0771900956485964	-0.127564787877499	-0.0685196496535579	-0.114327585198369	-0.166906772865885	0.178894704048984	0.344808267215601	-0.512555738253055	-0.367186338231482	0.212129648225511	95.1	1.7
