"Individual"	"Population"	"Type"	"Concrete_Location"	"NS"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"pc1"	"pc2"
"1"	"BEAR-PAW-LAKE-1902.02"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-3.04634604932512	-0.341893876889851	0.957717469990435	-0.116657017637264	0.635909324731718	3.81639891793278e-15	-1.02395912083209e-15	2.39484975174647e-17	-2.84024368024836e-17	3.62123021012919e-17	-7.20479788592066e-17	3.47455074658026e-16	0	0	81.71	15.93
"2"	"BEAR-PAW-LAKE-1902.03"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-3.93161929151519	-0.956085065147304	-0.452379066219795	0.0932143821653434	-0.0572269353798596	7.40428588289083e-16	-2.19276104368916e-16	1.89143193490976e-16	7.88406715714423e-17	4.04582922965279e-17	-8.38768643326875e-17	1.56779268324559e-16	0	-1.11022302462516e-16	81.71	15.93
"3"	"BEAR-PAW-LAKE-1902.04"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-3.83221292434121	-0.967877337889356	-0.403388286511276	0.166104842249502	0.259441066100187	1.93228548519742e-15	-4.50496342369134e-16	2.82108031449826e-16	-3.092189952821e-17	3.90429622314492e-17	-7.99339025081938e-17	2.57345304589887e-16	0	-1.11022302462516e-16	81.71	15.93
"4"	"BEAR-PAW-LAKE-1902.06"	"BEAR-PAW-LAKE"	"Freshwater"	"Alaska"	"North"	-3.93161929151519	-0.956085065147304	-0.452379066219795	0.0932143821653434	-0.0572269353798596	7.40428588289083e-16	-2.19276104368916e-16	1.89143193490976e-16	7.88406715714423e-17	4.04582922965279e-17	-8.38768643326875e-17	1.56779268324559e-16	0	-1.11022302462516e-16	81.71	15.93
"5"	"BOOT-LAKE-2827.01"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-3.34456515084708	-0.306517058663693	0.810745130864879	-0.33532839788974	-0.314094679708421	2.40828227207762e-16	-3.30298406831431e-16	-2.54946016359087e-16	3.00885276496474e-16	4.04582922965279e-17	-8.38768643326875e-17	4.57569658620438e-17	0	0	81.71	15.93
"6"	"BOOT-LAKE-2827.07"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-3.93161929151519	-0.956085065147304	-0.452379066219795	0.0932143821653434	-0.0572269353798596	7.40428588289083e-16	-2.19276104368916e-16	1.89143193490976e-16	7.88406715714423e-17	4.04582922965279e-17	-8.38768643326875e-17	1.56779268324559e-16	0	-1.11022302462516e-16	81.71	15.93
"7"	"BOOT-LAKE-2827.13"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-3.34456515084708	-0.306517058663693	0.810745130864879	-0.33532839788974	-0.314094679708421	2.40828227207762e-16	-3.30298406831431e-16	-2.54946016359087e-16	3.00885276496474e-16	4.04582922965279e-17	-8.38768643326875e-17	4.57569658620438e-17	0	0	81.71	15.93
"8"	"BOOT-LAKE-2827.19"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-3.93161929151519	-0.956085065147304	-0.452379066219795	0.0932143821653434	-0.0572269353798596	7.40428588289083e-16	-2.19276104368916e-16	1.89143193490976e-16	7.88406715714423e-17	4.04582922965279e-17	-8.38768643326875e-17	1.56779268324559e-16	0	-1.11022302462516e-16	81.71	15.93
"9"	"BOOT-LAKE-2827.25"	"BOOT-LAKE"	"Freshwater"	"Alaska"	"North"	-3.37949532132257	6.12060001616715	-0.21884557226352	0.0353888512860311	0.0101606881742793	-4.84286185750543e-16	1.36279170572193e-15	7.44254705803554e-16	-2.69133179946759e-18	4.43567511569697e-18	1.94975771868324e-17	1.80514631626288e-16	0	-1.11022302462516e-16	81.71	15.93
"10"	"BOS-NER-GA-10"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-4.27559293772481	1.08109751536335	-0.843787599049254	0.287853840637375	0.169783107479975	-0.0298613401616101	0.0126973995352951	-0.0423942884737034	-0.0367868431679642	-0.00362882547217705	-0.00102024372763062	-0.0154347171212886	0	0	81.71	15.93
"11"	"BOS-NER-GA-13"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-3.31239783964578	1.02149734758077	-1.7046509981052	-1.11061287708427	0.320283645497232	-0.02986134016161	0.0126973995352949	-0.0423942884737031	-0.0367868431679644	-0.00362882547217668	-0.00102024372763061	-0.0154347171212883	0	-2.0122792321331e-16	81.71	15.93
"12"	"BOS-NER-GA-14"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-4.27559293772481	1.08109751536335	-0.843787599049254	0.287853840637375	0.169783107479975	-0.0298613401616101	0.0126973995352951	-0.0423942884737034	-0.0367868431679642	-0.00362882547217705	-0.00102024372763062	-0.0154347171212886	0	0	81.71	15.93
"13"	"BOS-NER-GA-17"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-4.27559293772481	1.08109751536335	-0.843787599049254	0.287853840637375	0.169783107479975	-0.0298613401616101	0.0126973995352951	-0.0423942884737034	-0.0367868431679642	-0.00362882547217705	-0.00102024372763062	-0.0154347171212886	0	0	81.71	15.93
"14"	"BOS-NER-GA-18"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-4.27559293772481	1.08109751536335	-0.843787599049254	0.287853840637375	0.169783107479975	-0.0298613401616101	0.0126973995352951	-0.0423942884737034	-0.0367868431679642	-0.00362882547217705	-0.00102024372763062	-0.0154347171212886	0	0	81.71	15.93
"15"	"BOS-NER-GA-19"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-4.27559293772481	1.08109751536335	-0.843787599049254	0.287853840637375	0.169783107479975	-0.0298613401616101	0.0126973995352951	-0.0423942884737034	-0.0367868431679642	-0.00362882547217705	-0.00102024372763062	-0.0154347171212886	0	0	81.71	15.93
"16"	"BOS-NER-GA-2"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-4.27559293772481	1.08109751536335	-0.843787599049254	0.287853840637375	0.169783107479975	-0.0298613401616101	0.0126973995352951	-0.0423942884737034	-0.0367868431679642	-0.00362882547217705	-0.00102024372763062	-0.0154347171212886	0	0	81.71	15.93
"17"	"BOS-NER-GA-4"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-4.27559293772481	1.08109751536335	-0.843787599049254	0.287853840637375	0.169783107479975	-0.0298613401616101	0.0126973995352951	-0.0423942884737034	-0.0367868431679642	-0.00362882547217705	-0.00102024372763062	-0.0154347171212886	0	0	81.71	15.93
"18"	"BOS-NER-GA-5"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-4.27559293772481	1.08109751536335	-0.843787599049254	0.287853840637375	0.169783107479975	-0.0298613401616101	0.0126973995352951	-0.0423942884737034	-0.0367868431679642	-0.00362882547217705	-0.00102024372763062	-0.0154347171212886	0	0	81.71	15.93
